,Name,Season,Region,Games,Win rate,K:D,GPM,GDM,Game duration,Kills / game,Deaths / game,Towers killed,Towers lost,FB%,FT%,DRAPG,DRA%,VGPG,HERPG,HER%,DRA@15,TD@15,GD@15,PPG,NASHPG,NASH%,CSM,DPM,WPM,VWPM,WCPM
184,Nongshim RedForce,S14,KR,44,31.8%,0.7,1751,-161,32:57,9.8,13.8,4.6,6.9,52.3,38.6,2.07,43.4,2.7,0.34,36.6,0.77,-0.2,-776,2.66,0.52,32.2,33.5,2134,3.8,1.53,1.81
185,Nord Esports,S14,EUW,22,50.0%,1.14,1834,-15,33:21,15.3,13.5,6.8,6.5,45.5,54.5,2.55,52.0,2.6,0.64,63.6,0.86,0.0,114,3.91,0.82,50.8,32.6,2285,3.3,1.20,1.33
186,NRG,S14,,20,40.0%,0.83,1772,-93,34:43,12.4,14.9,5.1,7.5,45.0,35.0,2.2,42.7,2.3,0.35,36.8,0.75,-0.2,-446,3.55,0.75,39.2,32.7,2313,3.5,1.14,1.64
187,NS Challengers,S14,KR,59,55.9%,0.99,1850,44,33:36,13.0,13.1,6.2,5.4,59.3,50.8,2.15,44.2,2.5,0.39,39.0,0.71,0.0,208,3.49,0.85,56.7,34.1,2325,3.6,1.40,1.82
188,Odivelas Sports Club,S14,PT,14,7.1%,0.55,1660,-289,31:51,10.8,19.6,3.6,8.8,21.4,57.1,1.5,33.3,2.9,0.57,57.1,0.71,-0.1,-1149,3.14,0.29,18.1,30.0,2170,2.8,0.92,1.13
189,OGC Sigma Esports,S14,CZ,18,50.0%,1.13,1772,-14,32:31,13.1,11.6,5.9,5.9,33.3,50.0,2.11,43.3,3.5,0.44,44.4,0.67,0.3,-48,3.28,0.67,50.0,31.1,2174,3.0,0.87,1.33
190,OK BRION,S14,KR,41,19.5%,0.62,1700,-253,32:10,9.1,14.7,3.2,8.1,39.0,19.5,1.44,30.8,2.0,0.44,45.0,0.73,-0.2,-1269,2.05,0.39,24.4,33.3,2083,3.5,1.47,1.79
191,OMG,S14,CN,44,47.7%,1.04,1822,-19,31:01,12.0,11.5,5.4,6.0,40.9,45.5,1.95,43.3,-,-,-,-,-,-,-,0.7,50.0,33.8,2266,-,-,-
192,Once Upon A Team,S14,BE,14,21.4%,0.55,1695,-308,32:55,11.1,20.4,3.5,9.0,21.4,21.4,1.5,31.4,1.7,0.43,46.2,0.85,-0.4,-2215,3.08,0.5,22.4,31.1,2098,2.6,0.89,1.15
193,One More Esports,S14,AL,14,28.6%,0.82,1842,-68,33:13,15.5,18.9,5.4,7.4,57.1,50.0,2.93,58.1,2.6,0.43,42.9,1.07,0.3,311,3.86,0.86,53.8,32.5,2502,3.0,0.90,1.28
194,Orbit Anonymo,S14,PL,22,72.7%,1.3,1969,176,31:58,19.9,15.2,8.0,4.6,54.5,45.5,2.82,58.4,2.5,0.32,33.3,1.00,0.1,670,4.36,0.73,60.3,33.2,2678,3.1,0.71,1.26
195,Oxygen Kumiho,S14,ES,14,50.0%,1.01,1845,75,34:48,15.2,15.0,7.5,5.6,50.0,42.9,3.29,65.4,2.7,0.29,30.8,1.21,0.2,1271,4.29,0.93,57.1,32.7,2715,3.0,0.94,1.30
196,paiN Academy,S14,BR,19,73.7%,1.43,1917,177,31:58,17.1,11.8,8.1,4.8,57.9,57.9,2.68,59.8,2.4,0.58,57.9,1.00,-0.1,245,3.79,1.16,84.2,32.0,2524,3.5,1.51,1.65
197,paiN Gaming,S14,BR,35,60.0%,1.13,1841,59,34:26,15.2,13.4,6.6,5.3,65.7,62.9,2.66,52.0,2.1,0.29,32.3,0.80,0.0,407,4.91,1.0,63.4,32.9,2451,4.1,1.54,1.78
198,Papara SuperMassive,S14,TR,26,61.5%,1.22,1905,116,33:45,17.2,14.1,7.5,5.6,38.5,50.0,2.23,48.7,3.0,0.77,76.9,0.73,0.0,960,4.04,0.96,60.6,32.9,2363,3.4,1.10,1.42
199,Partizan Esports,S14,RS,14,7.1%,0.45,1627,-362,28:59,8.0,17.7,2.2,9.3,14.3,7.1,0.93,22.1,1.3,0.14,14.3,0.43,-0.4,-2173,2.07,0.14,7.7,30.3,1996,2.6,0.68,0.97
200,PCIFIC Espor,S14,TR,18,33.3%,0.91,1788,-131,30:47,15.9,17.3,4.9,7.4,50.0,50.0,2.22,47.7,3.0,0.28,29.4,1.24,-0.1,-377,2.88,0.61,37.5,30.7,2418,2.6,0.76,0.89
201,Phoenix Esports,S14,TR,27,66.7%,1.46,1920,169,30:47,17.6,12.1,6.9,4.8,63.0,55.6,2.63,59.4,2.5,0.67,72.0,1.08,0.0,623,3.04,0.85,64.0,32.5,2550,3.1,0.96,1.20
202,PRINCIPALITY,S14,ES,13,15.4%,0.52,1633,-330,31:58,9.2,17.8,3.5,9.1,30.8,30.8,1.85,35.3,2.8,0.38,38.5,0.92,-0.4,-1638,2.69,0.31,19.2,29.9,2125,3.0,0.83,1.23
203,Project Conquerors,S14,FR,18,16.7%,0.58,1671,-352,30:29,11.8,20.4,2.6,8.9,38.9,16.7,1.17,26.0,1.9,0.22,22.2,0.72,-0.8,-2576,2.67,0.28,13.9,29.9,2190,2.9,0.94,1.19
204,PSG Talon,S14,PCS,39,71.8%,1.72,1947,245,30:11,16.0,9.3,7.4,3.8,53.8,64.1,2.51,64.7,2.9,0.69,69.2,1.10,-0.1,1478,3.69,0.79,72.4,33.8,2602,3.6,1.29,1.82
205,RA AD,S14,AL,14,7.1%,0.47,1626,-445,27:30,8.4,18.0,2.1,9.3,50.0,7.1,1.14,26.4,1.6,0.14,14.3,0.71,-1.1,-3697,1.57,0.07,7.7,30.1,1715,2.9,0.78,1.14
206,Rainbow Warriors,S14,VN,24,0.0%,0.53,1718,-386,30:38,11.2,20.9,2.7,9.9,45.8,20.8,1.04,20.6,2.3,0.33,33.3,0.46,-0.7,-2121,3.46,0.13,4.9,31.9,2054,3.3,1.27,1.54
207,Ramboot Club,S14,ES,18,50.0%,1.02,1850,35,32:20,14.4,14.2,6.5,6.2,55.6,55.6,1.94,40.3,3.1,0.39,38.9,0.56,0.2,582,4.44,0.72,45.4,32.5,2308,3.3,1.26,1.51
208,Rare Atom,S14,CN,49,32.7%,0.86,1756,-128,32:23,12.2,14.2,4.4,7.1,53.1,38.8,2.0,43.4,-,-,-,-,-,-,-,0.69,44.0,32.6,2139,-,-,-
209,Rebels Gaming,S14,ES,18,38.9%,0.76,1748,-143,34:08,13.9,18.2,5.2,7.4,38.9,44.4,2.22,47.0,3.0,0.50,50.0,0.94,-0.4,-1246,3.39,0.61,38.0,30.9,2348,3.4,1.10,1.40
210,RED Academy,S14,BR,21,47.6%,1.0,1820,-10,31:56,15.1,15.0,6.5,6.1,52.4,57.1,2.14,48.9,2.7,0.48,47.6,0.90,0.3,860,4.67,0.67,43.3,31.1,2602,3.3,1.37,1.38
211,RED Canids,S14,BR,31,61.3%,1.28,1831,92,35:49,15.5,12.1,7.8,5.4,51.6,74.2,3.19,61.8,2.6,0.58,58.1,1.16,0.3,879,4.23,0.9,53.1,32.0,2373,3.6,1.28,1.64
212,Rogue,S14,EUW,19,26.3%,0.73,1734,-154,32:16,9.6,13.2,4.6,7.8,42.1,31.6,1.84,38.3,2.2,0.53,52.6,0.68,-0.1,-378,3.68,0.32,26.5,32.9,2021,3.2,0.89,1.44
213,ROSSMANN Centaurs,S14,DE,27,63.0%,0.99,1935,50,31:16,17.6,17.8,7.6,6.3,44.4,51.9,1.96,44.9,2.5,0.52,51.9,0.70,0.0,265,5.11,0.74,47.5,32.1,2534,2.7,0.77,1.04
214,Royal Never Give Up,S14,CN,43,37.2%,0.8,1774,-109,33:01,11.4,14.2,5.2,6.9,51.2,37.2,2.28,49.8,-,-,-,-,-,-,-,0.53,36.3,33.1,2104,-,-,-
215,Ruddy Esports,S14,EUW,30,50.0%,0.81,1868,-9,31:51,15.1,18.7,6.2,6.1,56.7,63.3,1.77,39.2,3.6,0.40,40.0,0.43,0.3,-10,3.80,0.7,52.3,33.2,2460,2.6,0.62,1.19
216,SAW,S14,PT,22,72.7%,1.63,1926,203,31:43,16.9,10.2,7.6,4.4,68.2,68.2,3.23,71.9,3.1,0.59,59.1,1.36,-0.1,1245,3.82,0.95,73.8,33.0,2392,3.3,1.09,1.27
217,Sengoku Gaming,S14,JP,27,33.3%,0.77,1765,-142,32:28,13.1,17.0,5.7,7.3,40.7,48.1,2.15,44.2,2.6,0.56,55.6,0.81,-0.1,-388,3.67,0.56,28.7,31.3,2177,3.4,1.38,1.53
218,Shopify Rebellion,S14,,14,35.7%,0.87,1744,-116,33:23,12.9,14.7,4.7,7.1,64.3,42.9,2.29,45.3,2.6,0.36,38.5,1.00,0.1,-227,3.00,0.5,37.5,31.4,2331,3.4,1.20,1.60
219,Six Karma,S14,LAT,30,26.7%,0.75,1728,-190,30:57,12.2,16.3,4.7,7.8,50.0,43.3,1.63,37.2,2.6,0.37,36.7,0.77,0.1,-388,3.17,0.57,35.6,30.8,2144,3.6,1.40,1.48
220,SK Gaming,S14,EUW,33,42.4%,1.0,1807,-54,31:54,13.6,13.7,5.8,6.5,48.5,48.5,2.18,47.4,2.7,0.67,66.7,0.97,0.1,-5,4.03,0.82,44.3,32.1,2328,4.0,1.33,1.64
221,SK Gaming Prime,S14,DE,27,63.0%,1.34,1942,150,33:27,18.7,14.0,7.6,5.5,37.0,44.4,2.89,64.4,2.0,0.44,44.4,1.15,0.1,854,5.85,0.85,60.9,33.5,2648,3.0,0.82,1.36
222,SNOOZE Esports,S14,BE,13,30.8%,0.77,1780,-107,32:56,15.1,19.5,5.3,7.2,69.2,30.8,1.92,39.4,3.4,0.46,46.2,0.62,-0.2,-1318,3.00,0.62,45.5,31.0,2356,2.8,0.83,0.96
223,SoftBank Hawks Gaming,S14,JP,47,70.2%,1.35,1931,186,30:31,16.4,12.1,7.8,4.1,59.6,53.2,2.57,62.1,2.4,0.70,73.3,1.09,0.1,946,3.60,1.0,75.0,33.0,2735,3.5,1.24,1.61
224,Solary,S14,FR,18,44.4%,1.06,1809,8,35:09,14.8,13.8,6.3,6.6,66.7,38.9,2.33,43.9,3.1,0.50,50.0,0.50,-0.1,180,3.00,1.06,57.4,31.6,2327,3.4,1.03,1.43
225,SPIKE Syndicate,S14,RS,28,75.0%,1.55,1909,161,31:56,18.4,11.9,8.0,4.6,57.1,64.3,2.64,59.5,2.2,0.79,78.6,0.86,0.1,1175,3.93,1.04,66.0,32.0,2658,2.9,0.69,1.13
226,Spinebusters E-Sport,S14,DE,26,76.9%,1.54,1966,177,30:56,19.7,12.8,8.2,5.0,69.2,61.5,2.42,57.1,2.4,0.62,61.5,1.08,0.2,1108,5.27,1.08,69.2,32.0,2702,3.3,0.97,1.25
227,Stormbringers,S14,ES,25,56.0%,1.1,1804,28,33:24,14.8,13.4,6.4,5.8,64.0,48.0,2.32,49.2,2.6,0.48,52.2,0.96,0.0,183,2.96,0.52,47.9,31.6,2499,3.1,0.93,1.22
228,Supernova,S14,,28,60.7%,1.16,1868,81,31:43,16.5,14.1,6.9,4.8,46.4,53.6,2.68,57.8,3.6,0.54,55.6,1.07,0.1,230,5.04,0.82,63.0,32.1,2596,3.1,1.07,1.46
229,T1,S14,KR,55,72.7%,1.32,1970,232,32:10,15.3,11.4,7.7,3.8,52.7,65.5,2.75,60.6,2.9,0.47,49.1,1.16,0.3,1152,5.13,1.2,79.2,34.7,2551,3.7,1.27,1.74
230,T1 Challengers,S14,KR,47,42.6%,1.02,1801,-26,33:03,11.7,11.5,5.6,6.6,61.7,57.4,2.19,47.4,2.1,0.51,52.2,0.83,0.1,294,4.11,0.72,47.8,33.1,2056,3.6,1.22,1.79
231,Team BDS,S14,EUW,44,56.8%,1.12,1871,58,32:02,14.3,12.8,6.5,5.7,59.1,61.4,2.34,51.7,2.0,0.52,52.3,0.95,0.0,-101,4.09,0.95,59.8,33.4,2082,3.7,1.23,1.67
232,Team BDS Academy,S14,FR,25,76.0%,1.57,1938,202,33:57,16.9,10.7,8.3,4.2,64.0,72.0,3.16,66.1,2.0,0.72,72.0,1.20,0.1,1083,3.44,1.0,60.7,34.2,2616,3.5,1.17,1.72
233,Team Bliss,S14,OCE,25,72.0%,1.38,1936,170,30:07,17.2,12.5,7.2,4.6,44.0,60.0,2.68,63.9,3.5,0.64,64.0,1.28,0.5,1232,4.92,0.88,66.7,32.9,2645,3.1,0.99,1.23
234,Team du Sud,S14,FR,18,33.3%,0.73,1752,-160,34:06,12.9,17.7,4.9,7.6,38.9,38.9,2.22,41.2,3.3,0.39,38.9,0.78,-0.3,-1836,2.83,0.78,40.2,31.9,2238,3.2,1.03,1.41
235,Team ESCA Gaming,S14,PL,14,7.1%,0.52,1632,-357,30:14,9.4,18.2,2.6,9.1,42.9,14.3,1.36,29.6,2.5,0.50,50.0,0.64,-0.7,-3031,2.14,0.14,12.1,30.3,2005,2.6,0.53,1.04
236,Team Flash,S14,VN,29,41.4%,1.08,1868,30,32:44,15.5,14.4,6.4,6.1,44.8,51.7,2.83,60.7,2.9,0.41,41.4,1.14,0.1,680,4.24,0.79,55.4,33.0,2444,3.8,1.47,1.81
237,Team GO,S14,FR,21,42.9%,0.85,1805,-39,34:19,12.4,14.6,6.4,6.6,42.9,52.4,2.19,44.3,1.9,0.38,38.1,1.00,-0.1,-382,3.24,0.95,48.8,33.0,2260,3.5,1.33,1.58
238,Team Heretics,S14,EUW,31,45.2%,1.01,1784,-41,32:28,12.1,12.1,5.5,6.3,45.2,48.4,2.16,44.8,2.5,0.35,35.5,0.77,-0.1,-828,3.13,0.68,49.7,32.9,2066,3.7,1.04,1.72
239,Team Legion,S14,GR,14,28.6%,0.69,1711,-174,32:06,11.9,17.0,4.5,7.6,50.0,21.4,1.71,37.0,3.3,0.50,50.0,0.57,-0.2,-776,3.29,0.43,28.6,30.4,2246,3.0,0.92,1.16
240,Team Liquid,S14,,33,63.6%,1.25,1849,107,32:58,15.5,12.4,7.4,4.8,54.5,75.8,2.88,62.1,2.2,0.64,65.6,1.21,0.2,149,4.48,0.94,71.2,31.9,2601,3.6,1.32,1.80
241,Team Liquid Challengers,S14,,34,41.2%,1.08,1801,-29,33:53,14.9,13.7,6.0,6.1,52.9,61.8,2.29,47.9,2.9,0.44,45.5,0.82,0.2,767,4.62,0.68,39.4,32.2,2472,3.6,1.22,1.33
242,Team Phantasma,S14,GR,32,65.6%,1.21,1930,137,30:45,17.9,14.8,7.5,4.4,40.6,68.8,2.5,61.1,2.6,0.69,68.8,1.03,0.2,910,4.75,0.75,54.7,32.8,2550,3.4,1.11,1.34
243,Team Refuse,S14,GR,14,35.7%,0.87,1753,-122,31:12,13.0,15.0,4.6,7.4,64.3,50.0,1.43,34.9,2.9,0.29,28.6,0.79,0.1,-95,3.79,0.29,30.8,32.4,2158,3.0,1.04,1.15
244,Team Secret,S14,VN,37,70.3%,1.14,1939,136,32:23,16.0,13.9,7.4,4.6,62.2,64.9,3.0,63.7,2.8,0.46,45.9,1.27,0.4,1016,4.76,0.92,62.9,34.2,2544,3.9,1.38,1.83
245,Team UNiTY,S14,CZ,22,50.0%,0.91,1780,-41,32:21,11.9,13.0,5.3,6.3,59.1,40.9,2.59,54.3,2.1,0.55,54.5,1.23,0.0,-281,2.91,0.68,51.5,32.5,2150,2.7,0.70,1.25
246,Team Vitality,S14,EUW,36,50.0%,0.89,1862,-17,32:08,15.4,17.0,6.5,5.8,52.8,55.6,2.47,56.9,2.8,0.58,58.3,1.06,0.0,351,4.39,0.69,42.1,32.8,2521,3.4,1.19,1.79
247,Team WE,S14,CN,50,52.0%,0.85,1810,-5,33:17,11.1,13.0,6.6,5.7,38.0,48.0,1.94,41.6,-,-,-,-,-,-,-,0.84,57.1,33.0,2432,-,-,-
248,Team Whales,S14,VN,34,52.9%,1.04,1886,12,32:38,15.7,15.1,6.2,5.8,52.9,58.8,2.18,46.5,2.6,0.68,67.6,0.71,0.1,476,4.26,0.62,46.4,33.3,2268,4.1,1.47,1.71
249,TeamOrangeGaming,S14,DE,29,65.5%,1.16,1967,135,30:02,19.6,16.8,8.0,5.0,51.7,65.5,2.52,60.7,2.9,0.55,55.2,1.14,0.1,807,5.17,0.79,64.7,31.4,2822,3.1,0.87,1.14
250,Top Esports,S14,CN,57,73.7%,1.49,1961,222,30:51,15.4,10.3,7.9,4.1,54.4,54.4,2.53,60.9,-,-,-,-,-,-,-,0.84,71.9,34.3,2620,-,-,-
251,Tropa XV,S14,BR,18,33.3%,0.77,1806,-72,31:30,12.9,16.7,5.9,7.3,38.9,55.6,2.06,43.8,2.7,0.39,38.9,0.78,-0.1,-459,4.56,0.56,33.3,32.0,2243,3.2,1.21,1.40
252,TT,S14,CN,40,42.5%,0.95,1805,-52,33:33,12.6,13.3,5.7,6.8,55.0,42.5,2.28,45.8,-,-,-,-,-,-,-,0.75,47.9,33.2,2224,-,-,-
253,Twisted Minds,S14,AL,18,50.0%,1.16,1873,81,32:38,16.9,14.6,6.8,5.7,44.4,61.1,2.56,56.0,2.7,0.39,41.2,1.00,0.0,102,3.94,0.56,43.5,32.0,2552,2.9,0.90,1.40
254,UCAM Tokiers,S14,ES,22,50.0%,0.81,1804,-54,30:54,13.4,16.6,6.0,6.5,45.5,50.0,1.82,45.3,3.0,0.82,81.8,0.77,-0.1,200,3.73,0.77,48.5,30.6,2289,3.6,1.14,1.33
255,Ultra Prime,S14,CN,42,26.2%,0.71,1745,-158,31:58,9.6,13.5,4.3,7.4,38.1,33.3,1.81,39.6,-,-,-,-,-,-,-,0.5,34.6,33.0,2164,-,-,-
256,Unicorns Of Love Sexy Edition,S14,DE,23,60.9%,1.14,1915,107,32:14,14.9,13.0,7.1,5.1,56.5,65.2,2.65,56.7,3.7,0.48,47.8,1.26,0.4,1194,5.22,0.74,52.5,34.9,2388,3.5,0.95,1.51
257,V3 Esports,S14,JP,31,32.3%,0.8,1751,-163,30:37,13.0,16.2,4.2,7.7,45.2,29.0,1.77,39.5,2.2,0.39,38.7,0.74,-0.4,-864,3.87,0.48,43.8,30.9,2323,3.7,1.53,1.44
258,Venomcrest Esports,S14,EUW,17,47.1%,1.02,1826,-40,29:50,15.5,15.2,4.9,6.1,47.1,47.1,1.82,45.2,3.5,0.71,70.6,0.76,0.2,504,3.82,0.35,42.9,31.7,2333,3.0,0.83,1.24
259,Venus,S14,TR,17,0.0%,0.38,1601,-515,26:48,8.6,22.5,1.1,8.9,29.4,-,0.94,26.7,2.3,0.35,37.5,0.69,-1.0,-3240,2.63,0.0,0.0,29.2,2006,2.5,0.76,0.94
260,Verdant,S14,EUW,14,50.0%,0.95,1831,-15,33:00,14.6,15.4,5.7,6.4,42.9,71.4,2.5,54.8,2.0,0.64,69.2,1.36,0.1,116,3.93,0.43,29.8,32.5,2435,3.1,1.04,1.35
261,Vikings Esports,S14,VN,35,57.1%,1.11,1896,89,34:37,15.8,14.2,6.6,5.5,42.9,37.1,2.83,57.3,3.0,0.37,37.1,1.26,-0.2,-400,3.46,0.83,57.1,34.3,2575,4.2,1.42,2.05
262,Vitality.Bee,S14,FR,24,54.2%,1.02,1823,-3,30:54,13.2,12.8,6.0,6.0,50.0,54.2,2.08,47.6,2.2,0.63,62.5,0.96,0.2,488,4.17,0.58,47.1,32.7,2315,3.2,1.05,1.47
263,Vivo Keyd Stars,S14,BR,36,61.1%,1.12,1893,120,33:19,16.1,14.4,7.2,5.2,47.2,55.6,2.69,58.0,1.9,0.58,61.8,1.03,0.1,234,4.36,0.83,58.0,33.3,2433,3.6,1.17,1.90
264,Vivo Keyd Stars Academy,S14,BR,16,81.3%,1.56,1927,230,31:49,16.9,10.9,7.8,4.2,31.3,56.3,2.75,62.1,3.5,0.69,68.8,1.06,0.0,370,4.00,1.0,72.8,33.4,2423,3.7,1.31,1.62
265,Weibo Gaming,S14,CN,55,50.9%,0.99,1817,-6,33:45,12.1,12.2,6.3,6.1,49.1,40.0,2.35,50.2,-,-,-,-,-,-,-,0.85,49.1,33.0,2257,-,-,-
266,WeSports,S14,DE,18,16.7%,0.72,1739,-258,31:22,12.9,18.1,3.6,9.1,11.1,27.8,1.83,36.1,1.4,0.17,16.7,0.72,-0.6,-2107,3.22,0.5,28.4,31.7,2191,2.6,0.69,1.19
267,West Point Esports,S14,PCS,22,9.1%,0.5,1654,-352,29:54,9.5,19.0,2.9,9.0,45.5,22.7,1.73,35.9,3.2,0.45,45.5,0.77,-0.4,-1610,3.23,0.36,13.0,30.7,2057,2.9,0.98,1.24
268,White Dragons,S14,PT,12,25.0%,0.74,1685,-267,30:44,12.6,17.0,3.5,8.6,41.7,33.3,1.58,37.6,2.2,0.33,33.3,0.75,-0.3,-1840,3.67,0.25,20.8,29.3,2167,2.8,0.70,0.96
269,Wild Panthers Esports,S14,GR,14,28.6%,0.77,1761,-210,33:41,15.9,20.5,4.7,8.6,28.6,35.7,2.71,51.7,1.1,0.29,33.3,1.00,-0.1,-1856,2.79,0.5,35.7,30.0,2604,3.0,0.84,1.17
270,Wildcard Gaming,S14,,26,42.3%,0.78,1806,-46,32:41,14.6,18.7,6.0,6.8,42.3,38.5,2.27,46.5,3.0,0.65,65.4,1.04,-0.3,-736,3.46,0.85,51.9,30.8,2471,2.5,0.65,1.25
271,WLGaming Esports,S14,GR,18,44.4%,1.07,1826,26,32:23,15.8,14.8,6.2,5.6,66.7,55.6,1.94,41.9,2.5,0.56,58.8,0.83,0.2,666,4.33,0.5,38.2,31.6,2495,2.8,0.97,1.44
272,Xoldiers,S14,ES,17,47.1%,1.15,1810,38,33:21,15.2,13.2,6.0,6.4,82.4,47.1,2.24,46.7,2.8,0.41,41.2,0.88,-0.1,277,3.18,0.53,44.1,31.7,2501,2.8,0.71,1.12
273,ZennIT Gaming,S14,BE,22,50.0%,1.01,1851,12,32:29,16.6,16.3,6.3,6.6,72.7,45.5,2.18,46.6,2.5,0.59,59.1,1.00,-0.2,551,3.73,0.55,44.4,32.2,2433,3.0,0.83,1.26
274,Zerance,S14,FR,21,42.9%,0.82,1830,-125,31:08,15.8,19.2,5.6,7.0,61.9,33.3,2.05,45.9,2.3,0.52,52.4,1.10,-0.4,-1270,3.95,0.86,46.8,30.8,2336,2.6,0.74,1.11
275,Zero Tenacity,S14,PL,27,74.1%,1.63,1947,247,31:29,17.3,10.6,8.2,3.6,37.0,85.2,2.67,59.5,2.3,0.74,74.1,1.22,0.3,1086,4.96,0.96,68.6,33.3,2823,3.2,1.06,1.27
276,ZETA,S14,ES,18,16.7%,0.64,1694,-240,30:07,9.6,14.8,3.7,8.8,66.7,11.1,1.44,32.9,2.7,0.50,50.0,0.83,-0.3,-632,2.39,0.33,19.4,31.9,1958,3.4,1.12,1.34
